WiFi.RSSI;Ptot;ConsHora;ConsHoraP;Ia_n;Ib_n;Ic_n;NCRC;NSerie;Envio;Lendo;Va_n;Vb_n;Vc_n;Va_b;Vb_c;Vc_a;ConsDiaP;EAkWh;VFreq;HdDev;Erro%
-77.0;80.32869;0.0;55.176;159.4549;200.6886;170.2101;CRC Ok;Teste4;59537.0;0.0;216.3199;216.1005;217.3639;373.7304;376.2107;372.809;2108.308;2108.308;60.02307;09:35:22 - 29/08/2025;0.0
-76.0;109.8524;0.0;55.419999999999995;182.7806;203.7366;187.0379;CRC Ok;Teste4;59538.0;0.0;215.8018;215.679;217.1117;372.9699;375.7138;372.5811;2108.308;2108.308;60.0203;09:35:34 - 29/08/2025;0.0
-77.0;109.6233;0.0;55.664;192.9441;216.5917;188.2296;CRC Ok;Teste4;59540.0;0.0;215.7886;215.6687;216.9758;373.2264;375.7554;372.6151;2108.308;2108.308;60.02042;09:35:40 - 29/08/2025;0.0
-78.0;109.31;0.0;55.664;189.2004;217.5846;192.1762;CRC Ok;Teste4;59541.0;0.0;215.8849;215.6078;216.825;372.9767;375.691;372.45;2108.308;2108.308;60.02245;09:35:45 - 29/08/2025;0.0
-77.0;107.5987;0.0;56.152;183.1586;209.7949;181.013;CRC Ok;Teste4;59542.0;0.0;215.8714;215.7962;216.8599;373.1331;375.97;372.8199;2108.309;2108.309;60.02678;09:35:51 - 29/08/2025;0.0
-79.0;131.0935;0.0;56.152;190.1181;210.5113;193.4545;CRC Ok;Teste4;59543.0;0.0;215.7035;215.5347;216.8661;373.0374;375.9991;373.013;2108.309;2108.309;60.01292;09:35:57 - 29/08/2025;0.0
-77.0;123.759;0.0;56.396;204.4147;226.6888;210.9607;CRC Ok;Teste4;59544.0;0.0;215.9157;215.7582;216.7731;372.9619;375.6917;372.6672;2108.309;2108.309;60.00584;09:36:03 - 29/08/2025;0.0
-77.0;108.487;0.0;56.641;205.355;226.7334;201.393;CRC Ok;Teste4;59545.0;0.0;215.781;215.5628;216.8958;373.0435;375.1809;372.0929;2108.309;2108.309;60.00395;09:36:08 - 29/08/2025;0.0
-77.0;109.6359;0.0;56.641;187.9559;215.088;188.7606;CRC Ok;Teste4;59546.0;0.0;215.6362;215.6693;216.6917;372.9897;375.6643;372.3816;2108.309;2108.309;59.98534;09:36:14 - 29/08/2025;0.0
-78.0;103.7171;0.0;56.885;195.7259;223.2365;197.2394;CRC Ok;Teste4;59547.0;0.0;215.9417;215.781;217.1051;373.1789;375.8653;372.8369;2108.309;2108.309;59.99221;09:36:20 - 29/08/2025;0.0
-78.0;115.4699;0.0;57.129;197.1738;207.4062;199.6781;CRC Ok;Teste4;59548.0;0.0;215.8733;215.7123;216.9284;373.2034;376.0049;373.4487;2108.31;2108.31;59.99934;09:36:26 - 29/08/2025;0.0
-77.0;119.2145;0.0;57.129;207.2835;220.8394;209.755;CRC Ok;Teste4;59549.0;0.0;216.1806;216.0021;217.2554;373.6308;376.4637;373.5655;2108.31;2108.31;60.02381;09:36:31 - 29/08/2025;0.0
-77.0;120.496;0.0;57.373;205.115;230.8985;195.9471;CRC Ok;Teste4;59550.0;0.0;216.2215;215.9732;217.3275;373.6209;376.3842;373.3176;2108.31;2108.31;60.02301;09:36:37 - 29/08/2025;0.0
-78.0;121.0733;0.0;57.617000000000004;206.3703;235.6937;202.8279;CRC Ok;Teste4;59551.0;0.0;216.1558;215.9993;217.2647;373.6234;376.5469;373.6403;2108.31;2108.31;60.00734;09:36:43 - 29/08/2025;0.0
-76.0;121.3851;0.0;57.861000000000004;209.3345;238.4876;212.7782;CRC Ok;Teste4;59552.0;0.0;216.4167;216.1945;217.4475;373.6708;376.5265;373.7922;2108.31;2108.31;59.99367;09:36:48 - 29/08/2025;0.0
-78.0;111.7418;0.0;58.105;209.6629;238.275;193.617;CRC Ok;Teste4;59553.0;0.0;216.2362;216.1405;217.3647;373.6082;376.4326;373.4436;2108.311;2108.311;60.00863;09:36:54 - 29/08/2025;0.0
-77.0;103.8784;0.0;58.35;178.0834;203.9997;172.9793;CRC Ok;Teste4;59554.0;0.0;216.2339;216.3075;217.6443;374.2624;376.5452;373.7151;2108.311;2108.311;60.0104;09:37:06 - 29/08/2025;0.0
-78.0;107.9558;0.0;58.35;187.1285;215.2039;183.0915;CRC Ok;Teste4;59556.0;0.0;216.5295;216.2335;217.5789;374.0902;376.6737;373.7141;2108.311;2108.311;60.00766;09:37:11 - 29/08/2025;0.0
-77.0;103.6906;0.0;58.838;181.7167;210.1826;181.2048;CRC Ok;Teste4;59557.0;0.0;216.52;216.1545;217.5394;373.8064;376.6477;373.8645;2108.311;2108.311;59.99721;09:37:17 - 29/08/2025;0.0
-77.0;107.6115;0.0;58.838;180.2502;202.3417;175.8631;CRC Ok;Teste4;59558.0;0.0;216.6855;216.698;217.7438;374.3664;377.1039;374.1792;2108.311;2108.311;59.97857;09:37:23 - 29/08/2025;0.0
-76.0;98.53508;0.0;59.082;187.7088;210.7462;180.2905;CRC Ok;Teste4;59559.0;0.0;216.804;216.7229;217.9112;374.4391;377.3768;374.494;2108.312;2108.312;59.96043;09:37:29 - 29/08/2025;0.0
-76.0;98.88953;0.0;59.32599999999999;186.4802;195.0587;173.7001;CRC Ok;Teste4;59560.0;0.0;216.7458;216.6363;217.8159;374.5435;377.1758;374.2928;2108.312;2108.312;59.95383;09:37:34 - 29/08/2025;0.0
-76.0;94.66042;0.0;59.32599999999999;182.4069;197.6349;168.6656;CRC Ok;Teste4;59561.0;0.0;216.4802;216.5358;217.592;374.6424;377.4704;374.4171;2108.312;2108.312;59.95445;09:37:40 - 29/08/2025;0.0
-79.0;92.44932;0.0;59.57;176.4857;196.6446;164.0781;CRC Ok;Teste4;59562.0;0.0;216.4719;216.2994;217.6891;374.2831;376.7601;373.6482;2108.312;2108.312;59.96376;09:37:46 - 29/08/2025;0.0
-77.0;95.2146;0.0;59.57;179.3634;192.9466;167.7141;CRC Ok;Teste4;59563.0;0.0;216.4641;216.3516;217.4425;373.9605;376.8122;374.1999;2108.312;2108.312;59.97121;09:37:52 - 29/08/2025;0.0
-77.0;98.10793;0.0;59.814;183.2166;194.97;166.9532;CRC Ok;Teste4;59564.0;0.0;216.5941;216.3605;217.7588;374.3251;377.1182;373.6639;2108.312;2108.312;59.96793;09:37:57 - 29/08/2025;0.0
-77.0;104.8857;0.0;60.059000000000005;184.6505;196.6906;174.1762;CRC Ok;Teste4;59565.0;0.0;216.4599;216.3819;217.5323;374.003;376.8058;373.9715;2108.313;2108.313;59.97102;09:38:03 - 29/08/2025;0.0
-76.0;102.5131;0.0;60.059000000000005;187.6148;201.8557;177.252;CRC Ok;Teste4;59566.0;0.0;216.6605;216.5356;217.6337;374.2957;376.8824;374.0738;2108.313;2108.313;59.97799;09:38:09 - 29/08/2025;0.0
-77.0;101.1731;0.0;60.303000000000004;185.5969;202.8138;178.9874;CRC Ok;Teste4;59567.0;0.0;216.8992;216.7243;217.8352;374.5842;377.5147;374.8989;2108.313;2108.313;59.97943;09:38:15 - 29/08/2025;0.0
-77.0;101.9693;0.0;60.547;181.8089;197.5945;182.8819;CRC Ok;Teste4;59568.0;0.0;216.8692;216.8434;217.9837;374.9172;377.7003;374.8742;2108.313;2108.313;59.96296;09:38:20 - 29/08/2025;0.0
