WiFi.RSSI;Ptot;ConsHora;ConsHoraP;Ia_n;Ib_n;Ic_n;NCRC;NSerie;Envio;Lendo;Va_n;Vb_n;Vc_n;Va_b;Vb_c;Vc_a;ConsDiaP;EAkWh;VFreq;HdDev;Erro%
-78.0;72.5715;0.0;53.467;134.3789;156.7502;118.8936;CRC Ok;Teste4;59523.0;0.0;216.8188;216.6919;217.8618;374.9258;377.3755;374.4364;2108.306;2108.306;60.04601;09:34:02 - 29/08/2025;0.0
-77.0;82.19837;0.0;53.711;152.3096;176.9923;138.9078;CRC Ok;Teste4;59525.0;0.0;215.9559;215.7308;217.6294;374.7213;377.0656;374.2668;2108.306;2108.306;60.04871;09:34:13 - 29/08/2025;0.0
-78.0;81.09598;0.0;53.955000000000005;147.2433;170.5815;139.0578;CRC Ok;Teste4;59526.0;0.0;216.4971;216.3716;217.6993;374.4337;376.8958;374.3405;2108.306;2108.306;60.02534;09:34:19 - 29/08/2025;0.0
-76.0;79.15128;0.0;53.955000000000005;147.8835;167.0158;138.0265;CRC Ok;Teste4;59527.0;0.0;216.4966;216.3224;217.515;374.3199;376.7622;373.8159;2108.306;2108.306;60.02226;09:34:25 - 29/08/2025;0.0
-78.0;68.45286;0.0;54.199;142.4799;162.891;124.9293;CRC Ok;Teste4;59528.0;0.0;216.6246;216.3423;217.741;374.3654;376.7822;374.1351;2108.307;2108.307;60.00556;09:34:31 - 29/08/2025;0.0
-78.0;67.04864;0.0;54.199;134.5207;155.965;126.1369;CRC Ok;Teste4;59529.0;0.0;216.6333;216.3315;217.6056;374.5543;376.6503;374.0208;2108.307;2108.307;60.00802;09:34:36 - 29/08/2025;0.0
-80.0;65.7421;0.0;54.199;130.6572;157.7098;124.8405;CRC Ok;Teste4;59530.0;0.0;216.5445;216.2983;217.5957;374.8548;377.1231;374.0786;2108.307;2108.307;60.01641;09:34:42 - 29/08/2025;0.0
-77.0;75.1011;0.0;54.443;132.7213;155.5377;127.3531;CRC Ok;Teste4;59531.0;0.0;216.6348;216.3255;217.628;374.5695;376.8966;374.0812;2108.307;2108.307;60.02257;09:34:48 - 29/08/2025;0.0
-76.0;76.94798;0.0;54.443;144.7897;169.5904;138.4254;CRC Ok;Teste4;59532.0;0.0;216.7153;216.4286;217.6708;374.5615;376.8116;374.0898;2108.307;2108.307;60.04774;09:34:54 - 29/08/2025;0.0
-77.0;77.22454;0.0;54.688;148.9039;168.8438;137.0508;CRC Ok;Teste4;59533.0;0.0;216.5159;216.2525;217.5303;374.2123;376.588;373.7193;2108.307;2108.307;60.0437;09:34:59 - 29/08/2025;0.0
-79.0;77.43536;0.0;54.688;146.4172;172.1514;136.4917;CRC Ok;Teste4;59534.0;0.0;216.2542;216.1919;217.4191;374.0806;376.5172;373.9265;2108.307;2108.307;60.02528;09:35:05 - 29/08/2025;0.0
-77.0;80.75516;0.0;54.932;143.3885;163.3783;144.0575;CRC Ok;Teste4;59535.0;0.0;216.4293;216.1143;217.3943;374.0334;376.3547;373.6888;2108.307;2108.307;60.02529;09:35:11 - 29/08/2025;0.0
-77.0;82.59691;0.0;55.176;153.4492;167.7134;136.3898;CRC Ok;Teste4;59536.0;0.0;216.2626;215.9794;217.25;373.9516;376.431;373.6298;2108.308;2108.308;60.02482;09:35:17 - 29/08/2025;0.0
