WiFi.RSSI;Ptot;ConsHora;ConsHoraP;Ia_n;Ib_n;Ic_n;NSerie;Envio;Va_n;Vb_n;Vc_n;Va_b;Vb_c;Vc_a;ConsDiaP;EAkWh;VFreq;HdDev;Erro%
-68.0;72.272;0.0;45.41;136.4224;156.6535;129.4818;Teste4;133512.0;217.3624;217.3875;218.3872;376.3297;379.3105;375.7952;2061.233;2061.233;60.03154;14:29:43 - 29/07/2025;0.0
-69.0;70.53668;0.0;45.41;136.5227;156.1089;130.1756;Teste4;133513.0;217.3958;217.4764;218.4229;375.3573;378.056;374.8043;2061.233;2061.233;60.03671;14:29:49 - 29/07/2025;0.0
