WiFi.RSSI;Ptot;ConsHora;ConsHoraP;Ia_n;Ib_n;Ic_n;NCRC;NSerie;Envio;Lendo;Va_n;Vb_n;Vc_n;Va_b;Vb_c;Vc_a;ConsDiaP;EAkWh;VFreq;HdDev;Erro%
-66.0;106.8301;2.44E-4;30.518;189.0779;204.1849;184.7957;CRC Ok;Teste4;105738.0;0.0;219.9157;220.0235;220.9628;379.6565;383.4006;379.5679;2083.384;2083.384;59.97644;17:22:03 - 12/08/2025;0.0
-65.0;99.9315;2.44E-4;30.762;189.2062;202.922;182.9248;CRC Ok;Teste4;105739.0;0.0;219.8515;219.9213;221.0282;379.6706;383.329;379.2802;2083.385;2083.385;59.98128;17:22:08 - 12/08/2025;0.0
-65.0;103.9175;2.44E-4;30.762;175.8;193.4318;182.9248;CRC Ok;Teste4;105740.0;0.0;219.8515;219.8528;220.942;379.6542;383.3067;379.6283;2083.385;2083.385;59.97704;17:22:14 - 12/08/2025;0.0
-66.0;95.53037;2.44E-4;31.006;171.9775;193.4318;172.3642;CRC Ok;Teste4;105741.0;0.0;220.006;220.0298;221.1269;379.8007;383.4544;379.7261;2083.385;2083.385;59.96632;17:22:20 - 12/08/2025;0.0
-66.0;96.03139;2.44E-4;31.25;187.0474;189.9597;173.2015;CRC Ok;Teste4;105742.0;0.0;220.0333;220.0864;221.1738;379.928;383.5378;379.8035;2083.385;2083.385;59.95749;17:22:26 - 12/08/2025;0.0
-66.0;102.0282;2.44E-4;31.25;187.0474;208.6631;185.9434;CRC Ok;Teste4;105743.0;0.0;219.8759;219.9759;220.9694;379.6543;383.2861;379.5067;2083.385;2083.385;59.9483;17:22:31 - 12/08/2025;0.0
-67.0;101.9302;2.44E-4;31.494;178.7115;206.1886;185.97;CRC Ok;Teste4;105744.0;0.0;219.8446;219.8531;220.9698;379.4671;383.1632;379.5067;2083.385;2083.385;59.95764;17:22:37 - 12/08/2025;0.0
-66.0;97.99352;2.44E-4;31.494;169.7914;196.2008;186.0855;CRC Ok;Teste4;105745.0;0.0;219.6562;219.7072;220.8643;379.33;383.0772;379.1887;2083.385;2083.385;59.96671;17:22:43 - 12/08/2025;0.0
-66.0;92.86024;2.44E-4;31.738000000000003;173.5038;196.2008;176.5316;CRC Ok;Teste4;105746.0;0.0;219.8267;219.8427;220.9606;379.5337;383.1643;379.3636;2083.385;2083.385;59.95735;17:22:49 - 12/08/2025;0.0
-66.0;91.60291;2.44E-4;31.981999999999996;175.7619;196.1905;173.3797;CRC Ok;Teste4;105747.0;0.0;219.7461;219.6945;220.9673;379.6451;383.1891;379.5039;2083.386;2083.386;59.95091;17:22:54 - 12/08/2025;0.0
-67.0;89.8748;2.44E-4;31.981999999999996;175.7619;200.9312;178.6662;CRC Ok;Teste4;105748.0;0.0;219.8255;219.8502;220.9638;379.5817;383.1421;379.403;2083.386;2083.386;59.95534;17:23:00 - 12/08/2025;0.0
-66.0;89.45338;2.44E-4;32.227;168.2692;192.7938;172.8188;CRC Ok;Teste4;105749.0;0.0;219.986;219.9712;221.2073;379.7912;383.2127;379.403;2083.386;2083.386;59.96032;17:23:06 - 12/08/2025;0.0
-67.0;86.84398;2.44E-4;32.471;165.3752;194.1001;159.0569;CRC Ok;Teste4;105750.0;0.0;219.9415;219.8368;221.1882;379.9435;383.4429;379.6493;2083.386;2083.386;59.96032;17:23:12 - 12/08/2025;0.0
-66.0;97.50712;2.44E-4;32.471;168.9872;203.4043;173.2867;CRC Ok;Teste4;105751.0;0.0;219.9871;219.8623;221.2139;379.6866;383.4429;379.7689;2083.386;2083.386;59.97144;17:23:17 - 12/08/2025;0.0
-66.0;95.40501;2.44E-4;32.715;168.8011;196.5115;170.0784;CRC Ok;Teste4;105752.0;0.0;219.8658;219.7207;221.1637;379.6866;383.2411;379.5333;2083.386;2083.386;59.9701;17:23:23 - 12/08/2025;0.0
-66.0;102.3944;2.44E-4;32.959;173.2314;207.0375;176.3172;CRC Ok;Teste4;105753.0;0.0;219.7721;219.6508;221.0299;379.6722;383.2383;379.4394;2083.387;2083.387;59.96169;17:23:29 - 12/08/2025;0.0
-66.0;102.2953;2.44E-4;32.959;175.267;209.4596;176.3678;CRC Ok;Teste4;105754.0;0.0;219.5697;219.4765;221.0299;379.4936;383.0467;379.2648;2083.387;2083.387;59.94275;17:23:35 - 12/08/2025;0.0
-66.0;105.9625;2.44E-4;33.203;175.7911;213.2758;182.1501;CRC Ok;Teste4;105755.0;0.0;219.459;219.2762;220.8127;379.2013;382.6424;378.7807;2083.387;2083.387;59.94741;17:23:40 - 12/08/2025;0.0
-66.0;104.7435;2.44E-4;33.446999999999996;179.1826;216.6281;182.4654;CRC Ok;Teste4;105756.0;0.0;219.4493;219.2762;220.6824;378.9109;382.3683;378.6602;2083.387;2083.387;59.95185;17:23:46 - 12/08/2025;0.0
-67.0;94.20554;2.44E-4;33.446999999999996;167.5891;198.5888;169.0889;CRC Ok;Teste4;105757.0;0.0;219.6425;219.3348;220.6864;379.0714;382.6086;378.8803;2083.387;2083.387;59.97718;17:23:52 - 12/08/2025;0.0
