WiFi.RSSI;Ptot;ConsHora;ConsHoraP;Ia_n;Ib_n;Ic_n;NCRC;NSerie;Envio;Lendo;Va_n;Vb_n;Vc_n;Va_b;Vb_c;Vc_a;ConsDiaP;EAkWh;VFreq;HdDev;Erro%
-66.0;93.53407;2.44E-4;33.690999999999995;153.7758;181.9331;153.4629;CRC Ok;Teste4;105758.0;0.0;219.6425;219.5606;220.8856;379.4616;382.864;379.0565;2083.387;2083.387;59.99018;17:23:57 - 12/08/2025;0.0
-65.0;88.84261;2.44E-4;33.690999999999995;150.5297;176.293;146.8961;CRC Ok;Teste4;105758.0;0.0;219.9857;219.9168;221.2309;379.9768;383.4119;379.6171;2083.387;2083.387;59.98276;17:24:03 - 12/08/2025;0.0
-66.0;88.86354;2.44E-4;33.936;146.0483;169.4186;144.1116;CRC Ok;Teste4;105759.0;0.0;220.0279;220.0557;221.3689;380.1911;383.6076;379.7413;2083.388;2083.388;59.98249;17:24:09 - 12/08/2025;0.0
-66.0;87.92927;2.44E-4;34.18;145.3243;169.9355;142.3704;CRC Ok;Teste4;105760.0;0.0;220.171;220.2935;221.4686;380.4548;383.8935;380.0827;2083.388;2083.388;59.98249;17:24:09 - 12/08/2025;0.0
-66.0;90.03056;2.44E-4;34.18;139.4267;166.1181;143.8806;CRC Ok;Teste4;105761.0;0.0;220.3843;220.3548;221.5884;380.5618;384.0279;380.3303;2083.388;2083.388;59.97712;17:24:15 - 12/08/2025;0.0
-67.0;90.03056;2.44E-4;34.42400000000001;135.9149;162.3791;143.4108;CRC Ok;Teste4;105762.0;0.0;220.3516;220.3103;221.6172;380.6271;384.1381;380.3724;2083.388;2083.388;59.96653;17:24:20 - 12/08/2025;0.0
-66.0;79.60716;2.44E-4;34.42400000000001;131.9458;154.2459;133.8054;CRC Ok;Teste4;105763.0;0.0;220.2915;220.3046;221.5947;380.4625;384.0504;380.2382;2083.388;2083.388;59.96125;17:24:26 - 12/08/2025;0.0
-66.0;82.54333;2.44E-4;34.42400000000001;132.4271;157.3041;132.5883;CRC Ok;Teste4;105764.0;0.0;220.3676;220.3683;221.5748;380.471;384.0585;380.1895;2083.388;2083.388;59.95239;17:24:32 - 12/08/2025;0.0
-67.0;77.4344;2.44E-4;34.668;130.3184;152.7046;131.9976;CRC Ok;Teste4;105765.0;0.0;220.1436;220.218;221.3978;380.176;383.7183;379.958;2083.388;2083.388;59.96261;17:24:38 - 12/08/2025;0.0
-66.0;77.72733;2.44E-4;34.668;133.5704;160.95;131.9976;CRC Ok;Teste4;105766.0;0.0;220.2672;220.3737;221.4972;380.4835;383.9954;380.1061;2083.388;2083.388;59.97197;17:24:43 - 12/08/2025;0.0
-65.0;86.82016;2.44E-4;34.912;144.4714;167.9845;136.4583;CRC Ok;Teste4;105767.0;0.0;220.2634;220.2036;221.3789;380.2603;383.7816;379.9121;2083.389;2083.389;59.98208;17:24:49 - 12/08/2025;0.0
-67.0;94.04197;2.44E-4;35.156;151.8744;167.9845;152.164;CRC Ok;Teste4;105768.0;0.0;220.1652;220.161;221.357;380.1613;383.5811;379.7828;2083.389;2083.389;59.97327;17:24:55 - 12/08/2025;0.0
-66.0;97.32099;2.44E-4;35.156;151.8744;171.5374;151.9166;CRC Ok;Teste4;105769.0;0.0;220.0433;220.1465;221.246;379.927;383.6083;379.788;2083.389;2083.389;59.9474;17:25:01 - 12/08/2025;0.0
-65.0;98.32847;2.44E-4;35.4;156.3927;172.9461;148.5495;CRC Ok;Teste4;105770.0;0.0;220.1;220.126;221.4057;380.1678;383.7892;380.0133;2083.389;2083.389;59.94097;17:25:06 - 12/08/2025;0.0
-66.0;108.8181;2.44E-4;35.4;171.1017;190.1627;174.61;CRC Ok;Teste4;105771.0;0.0;220.1326;220.0771;221.396;380.0347;383.6796;380.0133;2083.389;2083.389;59.96568;17:25:12 - 12/08/2025;0.0
-67.0;109.2088;2.44E-4;35.645;180.0032;202.2714;174.2438;CRC Ok;Teste4;105772.0;0.0;220.1418;220.0793;221.4411;380.172;383.787;379.9095;2083.389;2083.389;59.98617;17:25:18 - 12/08/2025;0.0
-65.0;109.2223;2.44E-4;35.888999999999996;180.9007;199.8377;174.9027;CRC Ok;Teste4;105773.0;0.0;220.2577;220.1729;221.5948;380.4579;383.787;380.1268;2083.39;2083.39;59.98924;17:25:23 - 12/08/2025;0.0
-66.0;100.256;2.44E-4;35.888999999999996;167.894;185.4984;160.0036;CRC Ok;Teste4;105774.0;0.0;220.1445;220.1158;221.3813;380.1764;383.9479;380.2547;2083.39;2083.39;59.98109;17:25:29 - 12/08/2025;0.0
-66.0;98.32133;2.44E-4;36.132999999999996;165.167;190.5212;159.424;CRC Ok;Teste4;105775.0;0.0;220.2431;220.2363;221.5171;380.1764;383.7614;379.7776;2083.39;2083.39;59.97221;17:25:35 - 12/08/2025;0.0
-66.0;96.00645;2.44E-4;36.377;165.2087;188.1499;156.6649;CRC Ok;Teste4;105776.0;0.0;219.5266;219.485;221.1398;380.2446;383.8047;380.0197;2083.39;2083.39;59.96848;17:25:41 - 12/08/2025;0.0
-66.0;103.4391;2.44E-4;36.377;187.4042;214.9706;182.8534;CRC Ok;Teste4;105777.0;0.0;219.9993;219.9584;221.1398;379.7646;383.4057;379.6329;2083.39;2083.39;59.98323;17:25:46 - 12/08/2025;0.0
-66.0;95.08658;2.44E-4;36.621;179.2579;209.843;178.1078;CRC Ok;Teste4;105778.0;0.0;220.1074;219.9584;221.2404;379.9264;383.4627;379.905;2083.39;2083.39;60.01192;17:25:52 - 12/08/2025;0.0
-67.0;97.80482;2.44E-4;36.621;180.3686;208.7412;180.0362;CRC Ok;Teste4;105779.0;0.0;220.1501;220.0379;221.3237;379.9597;383.4608;379.7129;2083.39;2083.39;60.02388;17:25:58 - 12/08/2025;0.0
-66.0;96.06023;2.44E-4;36.865;169.7045;197.7745;175.4576;CRC Ok;Teste4;105780.0;0.0;220.1501;220.1054;221.3334;380.0577;383.6678;379.9318;2083.391;2083.391;60.01148;17:26:04 - 12/08/2025;0.0
-66.0;87.93488;2.44E-4;37.109;163.1879;201.5381;172.1748;CRC Ok;Teste4;105781.0;0.0;220.0998;220.0188;221.334;380.1666;383.6646;379.9648;2083.391;2083.391;59.994;17:26:09 - 12/08/2025;0.0
-66.0;80.08395;2.44E-4;37.109;144.6326;159.7726;131.7218;CRC Ok;Teste4;105781.0;0.0;220.0914;220.0007;221.3258;380.1081;383.6085;380.0902;2083.391;2083.391;59.99189;17:26:15 - 12/08/2025;0.0
-66.0;77.15347;2.44E-4;37.354;132.9823;164.104;131.4743;CRC Ok;Teste4;105782.0;0.0;220.5133;220.3391;221.7171;380.6392;384.1165;380.4364;2083.391;2083.391;59.99189;17:26:15 - 12/08/2025;0.0
-65.0;86.35365;2.44E-4;37.354;142.2125;170.5819;144.0435;CRC Ok;Teste4;105783.0;0.0;220.3441;220.2051;221.607;380.5167;383.9747;380.2895;2083.391;2083.391;59.99915;17:26:21 - 12/08/2025;0.0
-66.0;86.35365;2.44E-4;37.598;143.4894;174.5012;144.5727;CRC Ok;Teste4;105784.0;0.0;220.2626;220.1111;221.5797;380.118;383.6581;379.9591;2083.391;2083.391;60.01659;17:26:27 - 12/08/2025;0.0
-66.0;92.10645;2.44E-4;37.842;144.2625;179.0097;147.3641;CRC Ok;Teste4;105785.0;0.0;220.0354;219.8353;221.2661;379.8214;383.4514;379.749;2083.392;2083.392;60.04818;17:26:32 - 12/08/2025;0.0
-66.0;98.33628;2.44E-4;37.842;155.2294;187.3409;155.179;CRC Ok;Teste4;105786.0;0.0;219.9922;219.8732;221.2626;379.7843;383.3799;379.6355;2083.392;2083.392;60.04702;17:26:38 - 12/08/2025;0.0
-66.0;96.76097;2.44E-4;37.842;159.9839;192.834;159.5085;CRC Ok;Teste4;105787.0;0.0;219.8561;219.72;221.1317;379.629;383.2737;379.5119;2083.392;2083.392;60.02705;17:26:44 - 12/08/2025;0.0
-66.0;101.305;2.44E-4;38.086;155.9856;186.3213;159.5085;CRC Ok;Teste4;105788.0;0.0;219.8758;219.7101;221.2297;379.6357;383.2521;379.4644;2083.392;2083.392;60.00556;17:26:49 - 12/08/2025;0.0
-66.0;101.5579;2.44E-4;38.330000000000005;158.9063;188.2715;157.3368;CRC Ok;Teste4;105789.0;0.0;219.7978;219.7122;221.0973;379.5743;383.2626;379.5037;2083.392;2083.392;60.00085;17:26:55 - 12/08/2025;0.0
-65.0;95.81176;2.44E-4;38.330000000000005;144.7956;188.2715;158.137;CRC Ok;Teste4;105790.0;0.0;219.9682;219.8706;221.2881;379.7963;383.2688;379.5793;2083.392;2083.392;60.00698;17:27:01 - 12/08/2025;0.0
-65.0;89.18085;2.44E-4;38.574;144.5079;176.314;144.9268;CRC Ok;Teste4;105791.0;0.0;219.924;219.7945;221.2811;379.8356;383.3954;379.8794;2083.392;2083.392;60.01527;17:27:07 - 12/08/2025;0.0
-65.0;90.37538;2.44E-4;38.574;144.5079;174.6447;144.868;CRC Ok;Teste4;105792.0;0.0;219.9419;219.8339;221.2169;379.8653;383.3953;379.7947;2083.392;2083.392;60.02676;17:27:12 - 12/08/2025;0.0
-67.0;88.17709;2.44E-4;38.818;140.0563;173.4268;143.7233;CRC Ok;Teste4;105793.0;0.0;219.8334;219.636;221.0076;379.4166;383.032;379.3891;2083.393;2083.393;60.03117;17:27:18 - 12/08/2025;0.0
-67.0;89.65463;2.44E-4;38.818;143.125;172.3555;141.3654;CRC Ok;Teste4;105794.0;0.0;219.6966;219.5471;220.9309;379.2343;382.7916;379.3891;2083.393;2083.393;60.03461;17:27:24 - 12/08/2025;0.0
-66.0;84.65278;2.44E-4;39.063;138.8373;166.7255;140.3736;CRC Ok;Teste4;105795.0;0.0;219.6463;219.4851;221.0401;379.5103;382.7916;379.1919;2083.393;2083.393;60.02648;17:27:30 - 12/08/2025;0.0
-66.0;90.93069;2.44E-4;39.307;137.5137;166.6614;139.2081;CRC Ok;Teste4;105796.0;0.0;219.7646;219.5684;221.0278;379.2971;383.0485;379.4269;2083.393;2083.393;60.01919;17:27:35 - 12/08/2025;0.0
-66.0;78.69486;2.44E-4;39.307;141.0951;164.2221;138.4156;CRC Ok;Teste4;105797.0;0.0;219.6685;219.5318;220.9966;379.2971;382.8818;379.1234;2083.393;2083.393;60.01009;17:27:41 - 12/08/2025;0.0
-66.0;79.23174;2.44E-4;39.551;126.4538;154.6837;128.6928;CRC Ok;Teste4;105798.0;0.0;219.5937;219.4817;220.4139;379.3552;382.9779;379.3564;2083.393;2083.393;60.0;17:27:47 - 12/08/2025;0.0
-66.0;75.97022;2.44E-4;39.551;126.7911;157.4933;128.6166;CRC Ok;Teste4;105799.0;0.0;219.6699;219.5522;220.4139;378.433;382.3698;378.7335;2083.393;2083.393;60.00788;17:27:53 - 12/08/2025;0.0
-67.0;76.83424;2.44E-4;39.794999999999995;130.0377;160.0555;133.9359;CRC Ok;Teste4;105800.0;0.0;219.7445;219.5522;221.005;379.3857;382.9285;379.3041;2083.394;2083.394;60.01194;17:27:58 - 12/08/2025;0.0
-66.0;90.22307;2.44E-4;39.794999999999995;142.5027;169.9843;144.0189;CRC Ok;Teste4;105801.0;0.0;219.6716;219.5847;220.9596;379.3907;382.9022;379.222;2083.394;2083.394;60.0106;17:28:04 - 12/08/2025;0.0
-66.0;88.88706;2.44E-4;40.039;142.491;172.3409;142.5415;CRC Ok;Teste4;105802.0;0.0;219.6716;219.5616;220.8746;379.4;382.9556;379.3727;2083.394;2083.394;60.00732;17:28:10 - 12/08/2025;0.0
-66.0;94.954;2.44E-4;40.039;156.5636;188.0298;160.9606;CRC Ok;Teste4;105803.0;0.0;219.7106;219.5271;220.8029;379.2397;382.569;378.9793;2083.394;2083.394;60.0016;17:28:15 - 12/08/2025;0.0
-66.0;105.3806;2.44E-4;40.283;165.1884;197.0614;166.4927;CRC Ok;Teste4;105803.0;0.0;219.3161;219.1851;220.5143;378.7995;382.1459;378.4791;2083.394;2083.394;59.99895;17:28:21 - 12/08/2025;0.0
-66.0;107.3894;2.44E-4;40.527;177.2783;200.1281;171.8762;CRC Ok;Teste4;105804.0;0.0;219.4939;219.3859;220.7136;378.9706;382.4328;378.8604;2083.394;2083.394;59.99895;17:28:21 - 12/08/2025;0.0
-66.0;106.4737;2.44E-4;40.771;175.2468;191.1211;171.0386;CRC Ok;Teste4;105805.0;0.0;219.4577;219.3412;220.6516;378.8465;382.3671;378.7068;2083.395;2083.395;60.00215;17:28:27 - 12/08/2025;0.0
-66.0;106.4737;2.44E-4;40.771;167.0666;178.1004;159.7473;CRC Ok;Teste4;105806.0;0.0;219.5947;219.5738;220.782;379.234;382.7665;379.1181;2083.395;2083.395;60.00483;17:28:33 - 12/08/2025;0.0
-66.0;97.76172;2.44E-4;41.016;162.0697;215.0451;201.7043;CRC Ok;Teste4;105807.0;0.0;219.7166;219.7165;220.9172;379.5716;382.9946;379.3574;2083.395;2083.395;60.00028;17:28:38 - 12/08/2025;0.0
-66.0;102.7601;2.44E-4;41.016;183.5649;209.2198;182.9432;CRC Ok;Teste4;105808.0;0.0;219.5439;219.5567;220.7158;379.1946;382.6028;378.9778;2083.395;2083.395;60.01342;17:28:44 - 12/08/2025;0.0
-66.0;104.5451;2.44E-4;41.016;192.6628;219.6166;182.9432;CRC Ok;Teste4;105809.0;0.0;219.5665;219.5904;220.6773;379.0947;382.4293;378.8437;2083.395;2083.395;60.02533;17:28:50 - 12/08/2025;0.0
-66.0;109.374;2.44E-4;41.26;198.7352;225.3271;193.2337;CRC Ok;Teste4;105810.0;0.0;219.4513;219.4762;220.5375;378.8814;382.3309;378.6936;2083.395;2083.395;60.01856;17:28:56 - 12/08/2025;0.0
-66.0;109.7428;2.44E-4;41.504;192.9322;225.3271;197.3232;CRC Ok;Teste4;105811.0;0.0;219.4727;219.4571;220.564;379.2079;382.6443;379.0608;2083.395;2083.395;60.01201;17:29:01 - 12/08/2025;0.0
-65.0;99.54321;2.44E-4;41.504;192.9322;211.5708;185.794;CRC Ok;Teste4;105812.0;0.0;219.6014;219.4964;220.7676;379.1702;382.6306;379.0394;2083.395;2083.395;60.00772;17:29:07 - 12/08/2025;0.0
